language,country,lang,local,english,region,flag
🇦🇹 Deutsch (AT),AT,de-AT,Deutsch,German,Austria,🇦🇹
🇦🇺 English (AU),AU,en-AU,English,English,Australia,🇦🇺
🇧🇷 Português (BR),BR,pt-BR,Português,Portuguese,Brazil,🇧🇷
🇨🇦 English (CA),CA,en-CA,English,English,Canada,🇨🇦
🇨🇦 Français (CA),CA,fr-CA,Français,French,Canada,🇨🇦
🇨🇭 Deutsch (CH),CH,de-CH,Deutsch,German,Switzerland,🇨🇭
🇨🇳 中文 (普通话) (CN),CN,zh-CN,中文 (普通话),Chinese (Mandarin),China,🇨🇳
🇩🇪 Deutsch (DE),DE,de-DE,Deutsch,German,Germany,🇩🇪
🇩🇰 Dansk (DK),DK,da-DK,Dansk,Danish,Denmark,🇩🇰
🇪🇸 Español (ES),ES,es-ES,Español,Spanish,Spain,🇪🇸
🇫🇮 Suomi (FI),FI,fi-FI,Suomi,Finnish,Finland,🇫🇮
🇫🇷 Français (FR),FR,fr-FR,Français,French,France,🇫🇷
🇬🇧 English (GB),GB,en-GB,English,English,United Kingdom,🇬🇧
🇭🇰 中文 (粤语) (HK),HK,zh-HK,中文 (粤语),Chinese (Cantonese),Hong Kong,🇭🇰
🇮🇪 English (IE),IE,en-IE,English,English,Ireland,🇮🇪
🇮🇱 עברית (IL),IL,he-IL,עברית,Hebrew,Israel,🇮🇱
🇮🇳 English (IN),IN,en-IN,English,English,India,🇮🇳
🇮🇳 हिन्दी (IN),IN,hi-IN,हिन्दी,Hindi,India,🇮🇳
🇮🇹 Italiano (IT),IT,it-IT,Italiano,Italian,Italy,🇮🇹
🇯🇵 日本語 (JP),JP,ja-JP,日本語,Japanese,Japan,🇯🇵
🇰🇷 한국어 (KR),KR,ko-KR,한국어,Korean,South Korea,🇰🇷
🇲🇽 Español (MX),MX,es-MX,Español,Spanish,Mexico,🇲🇽
🇳🇱 Nederlands (NL),NL,nl-NL,Nederlands,Dutch,Netherlands,🇳🇱
🇳🇴 Norsk (NO),NO,no-NO,Norsk,Norwegian,Norway,🇳🇴
🇳🇿 English (NZ),NZ,en-NZ,English,English,New Zealand,🇳🇿
🇵🇱 Polski (PL),PL,pl-PL,Polski,Polish,Poland,🇵🇱
🇵🇹 Português (PT),PT,pt-PT,Português,Portuguese,Portugal,🇵🇹
🇷🇺 Русский (RU),RU,ru-RU,Русский,Russian,Russia,🇷🇺
🇸🇦 العربية (SA),SA,ar-SA,العربية,Arabic,Saudi Arabia,🇸🇦
🇸🇪 Svenska (SE),SE,sv-SE,Svenska,Swedish,Sweden,🇸🇪
🇹🇭 ไทย (TH),TH,th-TH,ไทย,Thai,Thailand,🇹🇭
🇹🇷 Türkçe (TR),TR,tr-TR,Türkçe,Turkish,Turkey,🇹🇷
🇹🇼 中文 (國語) (TW),TW,zh-TW,中文 (國語),Chinese (Mandarin),Taiwan,🇹🇼
🇺🇸 English (US),US,en-US,English,English,United States,🇺🇸
🇺🇸 Español (US),US,es-US,Español,Spanish,United States,🇺🇸
🇻🇳 Tiếng Việt (VN),VN,vi-VN,Tiếng Việt,Vietnamese,Vietnam,🇻🇳
🇿🇦 English (ZA),ZA,en-ZA,English,English,South Africa,🇿🇦
